CERTIFICATION_KEY,CERTIFICATION,GENRE_KEY,GENRE,APPELLATION_KEY,APPELLATION,MENTION_KEY,MENTION,LIEU_KEY,LIEU,COULEUR_KEY,COULEUR,CEPAGE_KEY,CEPAGE,LIBELLE_PRODUIT,IDENTIFIANT INAO
AOP,AOP,TRANQ,Tranquilles,CP,Côtes de Provence,,,FRE,Fréjus,rouge,Rouge,,,Tranquilles Côtes de Provence Fréjus Rouge,1R593S
AOP,AOP,TRANQ,Tranquilles,CP,Côtes de Provence,,,FRE,Fréjus,rose,Rosé,,,Tranquilles Côtes de Provence Fréjus Rosé,1S593S
AOP,AOP,TRANQ,Tranquilles,CP,Côtes de Provence,,,SVI,Sainte Victoire,rouge,Rouge,,,Tranquilles Côtes de Provence Sainte Victoire Rouge,1R592S
AOP,AOP,TRANQ,Tranquilles,CP,Côtes de Provence,,,SVI,Sainte Victoire,rose,Rosé,,,Tranquilles Côtes de Provence Sainte Victoire Rosé,1S592S
AOP,AOP,TRANQ,Tranquilles,CP,Côtes de Provence,,,LLO,La Londe,rouge,Rouge,,,Tranquilles Côtes de Provence La Londe Rouge,1R594S
AOP,AOP,TRANQ,Tranquilles,CP,Côtes de Provence,,,LLO,La Londe,rose,Rosé,,,Tranquilles Côtes de Provence La Londe Rosé,1S594S
AOP,AOP,TRANQ,Tranquilles,CP,Côtes de Provence,,,LLO,La Londe,blanc,Blanc,,,Tranquilles Côtes de Provence La Londe Blanc,1B594S
AOP,AOP,TRANQ,Tranquilles,CP,Côtes de Provence,,,LLO,La Londe,blanc,Blanc,VMT,Vermentino,Tranquilles Côtes de Provence La Londe Blanc Vermentino,1B594S
AOP,AOP,TRANQ,Tranquilles,CP,Côtes de Provence,,,,,rouge,Rouge,,,Tranquilles Côtes de Provence Rouge,1R582S
AOP,AOP,TRANQ,Tranquilles,CP,Côtes de Provence,,,,,rose,Rosé,,,Tranquilles Côtes de Provence Rosé,1S582S
AOP,AOP,TRANQ,Tranquilles,CP,Côtes de Provence,,,,,blanc,Blanc,,,Tranquilles Côtes de Provence Blanc,1B582S
AOP,AOP,TRANQ,Tranquilles,CP,Côtes de Provence,,,,,blanc,Blanc,ROL,Rolle-Vermentino,Tranquilles Côtes de Provence Blanc Rolle-Vermentino,1B582S
AOP,AOP,TRANQ,Tranquilles,CP,Côtes de Provence,,,PIE,Pierrefeu,rouge,Rouge,,,Tranquilles Côtes de Provence Pierrefeu Rouge,1R595S
AOP,AOP,TRANQ,Tranquilles,CP,Côtes de Provence,,,PIE,Pierrefeu,rose,Rosé,,,Tranquilles Côtes de Provence Pierrefeu Rosé,1S595S
AOP,AOP,TRANQ,Tranquilles,CP,Côtes de Provence,,,NDA,Notre Dame des Anges,rouge,Rouge,,,Tranquilles Côtes de Provence Notre Dame des Anges Rouge,1R596S
AOP,AOP,TRANQ,Tranquilles,CP,Côtes de Provence,,,NDA,Notre Dame des Anges,rose,Rosé,,,Tranquilles Côtes de Provence Notre Dame des Anges Rosé,1S596S
AOP,AOP,TRANQ,Tranquilles,CP,Côtes de Provence,,,CSVI,Cru Sainte Victoire,rouge,Rouge,,,Tranquilles Côtes de Provence Cru Sainte Victoire Rouge,1R597S
AOP,AOP,TRANQ,Tranquilles,CP,Côtes de Provence,,,CSVI,Cru Sainte Victoire,rose,Rosé,,,Tranquilles Côtes de Provence Cru Sainte Victoire Rosé,1S597S
AOP,AOP,TRANQ,Tranquilles,CAP,Coteaux d'Aix en Provence,,,,,rouge,Rouge,,,Tranquilles Coteaux d'Aix en Provence Rouge,1R579S
