AHBN;ALIC.H.B.N;1020
ALI;Alicante H.B;1020
ARA;Aranel;1711
CAL;Caladoc;1705
CAR;Carignan;1135
CF;Cabernet Franc;1101
CHA;Chardonnay;1141
CHE;Chenin B;1161
CHT;Chatus;2121
CIN;Cinsaut;1171
CLA;Clairette;1181
CLD;Caladoc;1705
COL;Colombar;1191
COT;Cot;1321
CS;Cabernet-Sauvignon;1111
CSN;Cabernet-Sauvignon Noir;1111
GAM;Gamay;1221
GAN;Gamay N;1221
GRB;Grenache Blanc;1251
GRG;Grenache Gris;1253
GRN;Grenache Noir;1255
MAR;Marsanne;1341
MAR;Marselan;1713
MER;Merlot;1373
MOL;Mollard;2291
MOU;Mourvedre;2305
MPG;muscat a petits grains;1453
MUA;Muscat Alexandre;1447
MUH;Muscat de HAMBOURG;1445
MUP;Muscat petits grains;1453
NIE;Nielluc;2323
PIN;Pinot;1511
PNB;Pinot Noir Blanc;1503
PNO;Pinot N;1511
PVE;Petit Verdot;1673
ROL;Rolle-Vermentino;2475
ROU;Roussanne;2415
SAU;Sauvignon;1561
SYR;Syrah;1591
TAN;Tannat;1601
TEM;Tempran;2685
UGNI;Ugni;1631
UGN;Ugni;1631
VIO;Viognier;1651
VMT;Vermentino;2475
