"#CATEGORIE_KEY";"CATEGORIE_LIBELLE";"CATEGORIE_CODE";"GENRE_KEY";"GENRE_LIBELLE";"GENRE_CODE";"DENOMINATION_KEY";"DENOMINATION_LIBELLE";"DENOMINATION_CODE";"LIEU_KEY";"LIEU_LIBELLE";"LIEU_CODE";"COULEUR_KEY";"COULEUR_LIBELLE";"COULEUR_CODE";"CEPAGE_KEY";"CEPAGE_LIBELLE";"CEPAGE_CODE";"LABELS";"DEPARTEMENTS";"DROITS_DOUANE";"DROITS_CVO";"DRM_VRAC";"OIOC";"REPLI_ENTREE";"REPLI_SORTIE";"DECLASSEMENT_ENTREE";"DECLASSEMENT_SORTIE"
"IGP";"IGP";"IGP";"TRANQ";"Tranquilles";"T";"301";"Gard";"301";"DEFAUT";;;"rouge";"Rouge";1;"DEFAUT";;;"AB:Agriculture Biologique|AR:Agriculture Raisonnée|BD:Biodynamie|ABC:AB en conversion";30;"L387/L387-Vins tranquilles/3,6/2012-01-01/G";;0;;1;1;0;1
"IGP";"IGP";"IGP";"TRANQ";"Tranquilles";"T";"301";"Gard";"301";"DEFAUT";;;"rose";"Rosé";2;"DEFAUT";;;"AB:Agriculture Biologique|AR:Agriculture Raisonnée|BD:Biodynamie|ABC:AB en conversion";30;"L387/L387-Vins tranquilles/3,6/2012-01-01/G";;0;;1;1;0;1
"IGP";"IGP";"IGP";"TRANQ";"Tranquilles";"T";"301";"Gard";"301";"DEFAUT";;;"blanc";"Blanc";3;"DEFAUT";;;"AB:Agriculture Biologique|AR:Agriculture Raisonnée|BD:Biodynamie|ABC:AB en conversion";30;"L387/L387-Vins tranquilles/3,6/2012-01-01/G";;0;;1;1;0;1
"IGP";"IGP";"IGP";"TRANQ";"Tranquilles";"T";"301";"Gard";"301";"DEFAUT";;;"rouge";"Rouge";1;"SYR";"Syrah";"SYR";"AB:Agriculture Biologique|AR:Agriculture Raisonnée|BD:Biodynamie|ABC:AB en conversion";30;"L387/L387-Vins tranquilles/3,6/2012-01-01/G";;0;;1;1;0;1
"IGP";"IGP";"IGP";"TRANQ";"Tranquilles";"T";"301";"Gard";"301";"DEFAUT";;;"rouge";"Rouge";1;"GRN";"Grenache Noir";"GRN";"AB:Agriculture Biologique|AR:Agriculture Raisonnée|BD:Biodynamie|ABC:AB en conversion";30;"L387/L387-Vins tranquilles/3,6/2012-01-01/G";;0;;1;1;0;1
"IGP";"IGP";"IGP";"TRANQ";"Tranquilles";"T";"301";"Gard";"301";"DEFAUT";;;"rouge";"Rouge";1;"CS";"Cabernet-Sauvignon";"CS";"AB:Agriculture Biologique|AR:Agriculture Raisonnée|BD:Biodynamie|ABC:AB en conversion";30;"L387/L387-Vins tranquilles/3,6/2012-01-01/G";;0;;1;1;0;1
"IGP";"IGP";"IGP";"TRANQ";"Tranquilles";"T";"301";"Gard";"301";"DEFAUT";;;"rouge";"Rouge";1;"CIN";"Cinsaut";"CIN";"AB:Agriculture Biologique|AR:Agriculture Raisonnée|BD:Biodynamie|ABC:AB en conversion";30;"L387/L387-Vins tranquilles/3,6/2012-01-01/G";;0;;1;1;0;1
"IGP";"IGP";"IGP";"TRANQ";"Tranquilles";"T";"301";"Gard";"301";"DEFAUT";;;"rouge";"Rouge";1;"MER";"Merlot";"MER";"AB:Agriculture Biologique|AR:Agriculture Raisonnée|BD:Biodynamie|ABC:AB en conversion";30;"L387/L387-Vins tranquilles/3,6/2012-01-01/G";;0;;1;1;0;1
"IGP";"IGP";"IGP";"TRANQ";"Tranquilles";"T";"301";"Gard";"301";"DEFAUT";;;"rouge";"Rouge";1;"MOU";"Mourvedre";"MOU";"AB:Agriculture Biologique|AR:Agriculture Raisonnée|BD:Biodynamie|ABC:AB en conversion";30;"L387/L387-Vins tranquilles/3,6/2012-01-01/G";;0;;1;1;0;1
"IGP";"IGP";"IGP";"TRANQ";"Tranquilles";"T";"301";"Gard";"301";"DEFAUT";;;"rouge";"Rouge";1;"MAR";"Marselan";"MAR";"AB:Agriculture Biologique|AR:Agriculture Raisonnée|BD:Biodynamie|ABC:AB en conversion";30;"L387/L387-Vins tranquilles/3,6/2012-01-01/G";;0;;1;1;0;1
