"#CATEGORIE_KEY";"CATEGORIE_LIBELLE";"CATEGORIE_CODE";"GENRE_KEY";"GENRE_LIBELLE";"GENRE_CODE";"DENOMINATION_KEY";"DENOMINATION_LIBELLE";"DENOMINATION_CODE";"LIEU_KEY";"LIEU_LIBELLE";"LIEU_CODE";"COULEUR_KEY";"COULEUR_LIBELLE";"COULEUR_CODE";"CEPAGE_KEY";"CEPAGE_LIBELLE";"CEPAGE_CODE";"LABELS";"DEPARTEMENTS";"DROITS_DOUANE";"DROITS_CVO";"DRM_VRAC";"OIOC";"REPLI_ENTREE";"REPLI_SORTIE";"DECLASSEMENT_ENTREE";"DECLASSEMENT_SORTIE"
"AOP";"AOP";"AOP";"TRANQ";"Tranquilles";"TRANQ";"CDR";"Cotes du Rhone Regional";"CDR";"DEFAUT";;;"rouge";"Rouge";1;"DEFAUT";;;"AB:Agriculture Biologique|AR:Agriculture Raisonnée|BD:Biodynamie|ABC:AB en conversion";"84,30,26,13,07,42,69,51,59";"L387_AOP//3,6/2012-01-01/G";"CDR/CDR/5,35/2012-01-01/A";1;"AVPI/2012-01-01";1;0;0;1
"AOP";"AOP";"AOP";"TRANQ";"Tranquilles";"TRANQ";"CDR";"Cotes du Rhone Regional";"CDR";"DEFAUT";;;"rose";"Rosé";2;"DEFAUT";;;"AB:Agriculture Biologique|AR:Agriculture Raisonnée|BD:Biodynamie|ABC:AB en conversion";"84,30,26,13,07,42,69,51,59";"L387_AOP//3,6/2012-01-01/G";"CDR/CDR/5,35/2012-01-01/A";1;;1;0;0;1
"AOP";"AOP";"AOP";"TRANQ";"Tranquilles";"TRANQ";"CDR";"Cotes du Rhone Regional";"CDR";"DEFAUT";;;"blanc";"Blanc";3;"DEFAUT";;;"AB:Agriculture Biologique|AR:Agriculture Raisonnée|BD:Biodynamie|ABC:AB en conversion";"84,30,26,13,07,42,69,51,59";"L387_AOP//3,6/2012-01-01/G";"CDR/CDR/5,35/2012-01-01/A";1;;1;0;0;1
"AOP";"AOP";"AOP";"TRANQ";"Tranquilles";"TRANQ";"CVS";"CdR Villages sans NG";"CVS";"DEFAUT";;;"rouge";"Rouge";1;"DEFAUT";;;"AB:Agriculture Biologique|AR:Agriculture Raisonnée|BD:Biodynamie|ABC:AB en conversion";"07,26,30,84";"L387_AOP//3,6/2012-01-01/G";"CVS/CVS/5,85/2012-01-01/A";1;;1;1;0;1
"AOP";"AOP";"AOP";"TRANQ";"Tranquilles";"TRANQ";"CVS";"CdR Villages sans NG";"CVS";"DEFAUT";;;"rose";"Rosé";2;"DEFAUT";;;"AB:Agriculture Biologique|AR:Agriculture Raisonnée|BD:Biodynamie|ABC:AB en conversion";"07,26,30,84";"L387_AOP//3,6/2012-01-01/G";"CVS/CVS/5,85/2012-01-01/A";1;;1;1;0;1
"AOP";"AOP";"AOP";"TRANQ";"Tranquilles";"TRANQ";"CVS";"CdR Villages sans NG";"CVS";"DEFAUT";;;"blanc";"Blanc";3;"DEFAUT";;;"AB:Agriculture Biologique|AR:Agriculture Raisonnée|BD:Biodynamie|ABC:AB en conversion";"07,26,30,84";"L387_AOP//3,6/2012-01-01/G";"CVS/CVS/5,85/2012-01-01/A";1;;1;1;0;1
"AOP";"AOP";"AOP";"TRANQ";"Tranquilles";"TRANQ";"CVG";"CdR Villages avec NG";"CVG";"COM";"Non précisé";"COM";"rouge";"Rouge";1;"DEFAUT";;;"AB:Agriculture Biologique|AR:Agriculture Raisonnée|BD:Biodynamie|ABC:AB en conversion";84;"L387_AOP//3,6/2012-01-01/G";"CVG/CVG/5,85/2012-01-01/A";1;;0;1;0;1
"AOP";"AOP";"AOP";"TRANQ";"Tranquilles";"TRANQ";"CVG";"CdR Villages avec NG";"CVG";"COM";"Non précisé";"COM";"rose";"Rosé";2;"DEFAUT";;;"AB:Agriculture Biologique|AR:Agriculture Raisonnée|BD:Biodynamie|ABC:AB en conversion";84;"L387_AOP//3,6/2012-01-01/G";"CVG/CVG/5,85/2012-01-01/A";1;;0;1;0;1
"AOP";"AOP";"AOP";"TRANQ";"Tranquilles";"TRANQ";"CVG";"CdR Villages avec NG";"CVG";"COM";"Non précisé";"COM";"blanc";"Blanc";3;"DEFAUT";;;"AB:Agriculture Biologique|AR:Agriculture Raisonnée|BD:Biodynamie|ABC:AB en conversion";84;"L387_AOP//3,6/2012-01-01/G";"CVG/CVG/5,85/2012-01-01/A";1;;0;1;0;1
"AOP";"AOP";"AOP";"TRANQ";"Tranquilles";"TRANQ";"CVG";"CdR Villages avec NG";"CVG";"BDV";"Beaumes de Venise";"BDV";"rouge";"Rouge";1;"DEFAUT";;;"AB:Agriculture Biologique|AR:Agriculture Raisonnée|BD:Biodynamie|ABC:AB en conversion";84;"L387_AOP//3,6/2012-01-01/G";"CVG/CVG/5,85/2012-01-01/A";1;;0;1;0;1
