"engagement_declassement";"Je m'engage à informer l'ODG, l'OI/OC et l'interprofession en cas de déclassement."
"engagement_export";"Je m'engage à informer les douanes en cas d'expédition de vins conditionnés sous CRD à l'export."
"engagement_odg";"Je m'engage à informer l'ODG en cas de repli/changement de dénomination."
"engagement_repli";"Je m'engage à informer l'ODG en cas de repli/changement de dénomination."
"engagement_pertes";"Je m'engage à informer les douanes en cas de pertes exceptionnelles."
"error_repli";"Erreur, la somme des replis en entrée est différente de celle en sortie."
"error_stock";"Erreur, le stock théorique fin de mois est différent du stock théorique début de mois de la DRM suivante."
"error_stock_entrepots";"Erreur, la somme des stocks de vos entrepôts doit être égale aux vins de la propriété."
"error_stock_propriete";"Erreur, la somme des stocks de votre propriété doit être égale au total."
"error_total_negatif";"Erreur, la différence du total des stocks en entrées avec celui en sorties ne doit pas être négatif."
"error_total_stocks";"Erreur, le total est inférieur aux stocks bloqués et en instance."
"error_volume_non_vinifie";"Erreur, le volume stocké de pertes autorisées ne peut être supérieur au volume stocke non vinifié."
"error_vrac";"Erreur, la sortie vrac est différente des volumes vrac saisie."
"warning_declassement";"Attention, les entrées en Vins sans IG/lies sont supérieures aux déclassements dans les autres catégories."
"warning_mouvement";"Attention, lors d'un transfert de chais, sauf accord des douanes, le vin doit revenir dans vos chais avant sa sortie définitive."
"warning_stock";"Attention, le stock théorique fin de mois est différent du stock théorique début de mois de la DRM suivante."
"warning_stocksdebut";"Attention, incohérence entre le stock début de mois et la répartition des stocks."
"warning_vrac";"Attention, la sortie vrac est différente des volumes vrac saisie."
